Item,Description,Quantity,Min Order #,Price,Link
PCB,Manufacturing,1,5,$2.10,JLCPCB
Shipping,,,,$3.12,
3D Printed Shell,I'm printing it,1,1,$0,
USB Port,,1,10,$1.35,https://www.aliexpress.us/item/3256806189715509.html?spm=a2g0o.productlist.main.3.2e8b6bnZ6bnZ0Z&algo_pvid=3f016e41-5d10-487f-9484-19885c0a3feb&algo_exp_id=3f016e41-5d10-487f-9484-19885c0a3feb-2&pdp_ext_f=%7B%22order%22%3A%22388%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.35%210.99%21%21%211.35%210.99%21%402101d9ef17652538219725440ec75c%2112000036949093681%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=iS5Cp2OfT1JC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006376030261%7C_p_origin_prod%3A
USB C Port,,4,10,$2.14,https://www.aliexpress.us/item/3256804454151365.html?spm=a2g0o.productlist.main.2.4670Aw5bAw5bZM&algo_pvid=05149649-5217-4417-b70e-137285f96d40&algo_exp_id=05149649-5217-4417-b70e-137285f96d40-1&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.14%210.99%21%21%212.14%210.99%21%402101d6ff17652530235417068ef6df%2112000029940455009%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afcc2548b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187467530&curPageLogUid=3CoMYSI3iRzP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004640466117%7C_p_origin_prod%3A
SL2.1A,Main IC,1,10,$2.97,https://www.aliexpress.us/item/3256808795655515.html?spm=a2g0o.productlist.main.4.2d2a1d768pZT7w&algo_pvid=02830591-dbff-42a7-8cce-4cade23cda1a&aem_p4p_detail=202512082012577083887522112720000054569&algo_exp_id=02830591-dbff-42a7-8cce-4cade23cda1a-3&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.97%210.99%21%21%212.97%210.99%21%402103274e17652535774881198e9085%2112000047450900449%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=x89sNXGkKfdt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008981970267%7C_p_origin_prod%3A&search_p4p_id=202512082012577083887522112720000054569_1
NSR0320MW2T1G,Diode,1,10,$2.02,https://www.aliexpress.us/item/3256808422138042.html?spm=a2g0o.productlist.main.1.6426190cuDj6s8&algo_pvid=04595a0b-186f-45df-8b70-a771f3a705bf&algo_exp_id=04595a0b-186f-45df-8b70-a771f3a705bf-0&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.02%212.02%21%21%2114.21%2114.21%21%402101eecd17652532128443323e5ae3%2112000045934365689%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895&curPageLogUid=NPzwOnT4YFLE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008608452794%7C_p_origin_prod%3A
Shipping,,,,$4.99,
CL10A106KP8NNNC,Capacitor,6,50,$1.60,https://www.aliexpress.us/item/3256807081583421.html?spm=a2g0o.productlist.main.1.46c954b8uiOU3h&algo_pvid=2aa1008c-4525-44c0-961d-f9736c81e270&algo_exp_id=2aa1008c-4525-44c0-961d-f9736c81e270-0&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.60%211.54%21%21%2111.22%2110.77%21%402103128817652531445575784ed94f%2112000040005457870%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895&curPageLogUid=pUqHoQY0Nswa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007267898173%7C_p_origin_prod%3A
Shipping,,,,$4.42,
0603 Resistor,5.1K Resistor,2,100,$2.90,https://www.aliexpress.us/item/3256804703825759.html?spm=a2g0o.productlist.main.1.49414ad7otFGKC&algo_pvid=e74fb9bf-50ba-4ba1-9f9a-cec1fc8c5e8b&algo_exp_id=e74fb9bf-50ba-4ba1-9f9a-cec1fc8c5e8b-0&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.73%210.99%21%21%2119.18%216.93%21%402101d97817652535041408077ebb4e%2112000030907612766%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=Ig9z02usPZUd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004890140511%7C_p_origin_prod%3A
0603 Resistor,22K Resistor,6,100,$2.90,https://www.aliexpress.us/item/3256804703825759.html?spm=a2g0o.productlist.main.1.49414ad7otFGKC&algo_pvid=e74fb9bf-50ba-4ba1-9f9a-cec1fc8c5e8b&algo_exp_id=e74fb9bf-50ba-4ba1-9f9a-cec1fc8c5e8b-0&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.73%210.99%21%21%2119.18%216.93%21%402101d97817652535041408077ebb4e%2112000030907612766%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4d867d%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=Ig9z02usPZUd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004890140511%7C_p_origin_prod%3A
,,,Total:,$30.51,
,,,Total with Tax:,$32.65,